epoch,step,train_acc,train_loss,valid_acc,valid_loss
0,49,,1.6881157159805298,,
0,99,,0.9624813199043274,,
0,149,,0.5474356412887573,,
0,199,,0.39319270849227905,,
0,249,,0.33834946155548096,,
0,299,,0.32180821895599365,,
0,349,,0.5051778554916382,,
0,399,,0.295502632856369,,
0,449,,0.3386395573616028,,
0,499,,0.3847166895866394,,
0,549,,0.42173847556114197,,
0,599,,0.26115652918815613,,
0,649,,0.24993790686130524,,
0,699,,0.211325541138649,,
0,749,,0.22049258649349213,,
0,799,,0.20873889327049255,,
0,849,,0.3438172936439514,,
0,859,,,0.913454532623291,0.29147714376449585
0,859,0.8479999899864197,,,
1,899,,0.33711719512939453,,
1,949,,0.22542519867420197,,
1,999,,0.17657138407230377,,
1,1049,,0.3571886718273163,,
1,1099,,0.08779876679182053,,
1,1149,,0.2960578203201294,,
1,1199,,0.17719778418540955,,
1,1249,,0.15375466644763947,,
1,1299,,0.10024380683898926,,
1,1349,,0.1716795712709427,,
1,1399,,0.11077322065830231,,
1,1449,,0.5173445343971252,,
1,1499,,0.10930726677179337,,
1,1549,,0.34454289078712463,,
1,1599,,0.18540900945663452,,
1,1649,,0.18538156151771545,,
1,1699,,0.21472707390785217,,
1,1719,,,0.9342727065086365,0.224778413772583
1,1719,0.9254181981086731,,,
2,1749,,0.30989977717399597,,
2,1799,,0.22373050451278687,,
2,1849,,0.19278255105018616,,
2,1899,,0.24487707018852234,,
2,1949,,0.17691662907600403,,
2,1999,,0.32052314281463623,,
2,2049,,0.240475594997406,,
2,2099,,0.3294665813446045,,
2,2149,,0.2695178687572479,,
2,2199,,0.13635578751564026,,
2,2249,,0.15378431975841522,,
2,2299,,0.1692293882369995,,
2,2349,,0.21590390801429749,,
2,2399,,0.12377914786338806,,
2,2449,,0.2113296240568161,,
2,2499,,0.11556965857744217,,
2,2549,,0.19390396773815155,,
2,2579,,,0.9447818398475647,0.18768028914928436
2,2579,0.940854549407959,,,
3,2599,,0.11702539026737213,,
3,2649,,0.10339510440826416,,
3,2699,,0.13898882269859314,,
3,2749,,0.1359184831380844,,
3,2799,,0.248914897441864,,
3,2849,,0.17807036638259888,,
3,2899,,0.13484294712543488,,
3,2949,,0.17471303045749664,,
3,2999,,0.08380477875471115,,
3,3049,,0.08043070137500763,,
3,3099,,0.1468753218650818,,
3,3149,,0.04397288337349892,,
3,3199,,0.2585255205631256,,
3,3249,,0.09412125498056412,,
3,3299,,0.17206048965454102,,
3,3349,,0.11753907054662704,,
3,3399,,0.18260855972766876,,
3,3439,,,0.9515636563301086,0.16343970596790314
3,3439,0.9495090842247009,,,
4,3449,,0.17924761772155762,,
4,3499,,0.10974688082933426,,
4,3549,,0.11477480828762054,,
4,3599,,0.18038208782672882,,
4,3649,,0.1517125517129898,,
4,3699,,0.23168526589870453,,
4,3749,,0.1668596863746643,,
4,3799,,0.10372374951839447,,
4,3849,,0.12163800746202469,,
4,3899,,0.13668861985206604,,
4,3949,,0.3008061647415161,,
4,3999,,0.2739643156528473,,
4,4049,,0.13288277387619019,,
4,4099,,0.055370789021253586,,
4,4149,,0.048443753272295,,
4,4199,,0.14402127265930176,,
4,4249,,0.15165483951568604,,
4,4299,,0.35104620456695557,,
4,4299,,,0.956672728061676,0.14696979522705078
4,4299,0.9552727341651917,,,
5,4349,,0.2046608179807663,,
5,4399,,0.2565883994102478,,
5,4449,,0.10250189900398254,,
5,4499,,0.10831906646490097,,
5,4549,,0.16364595293998718,,
5,4599,,0.0654483363032341,,
5,4649,,0.16586017608642578,,
5,4699,,0.20135347545146942,,
5,4749,,0.08580891042947769,,
5,4799,,0.11699551343917847,,
5,4849,,0.22362454235553741,,
5,4899,,0.11230739206075668,,
5,4949,,0.06987947225570679,,
5,4999,,0.08153343945741653,,
5,5049,,0.07579275220632553,,
5,5099,,0.09037070721387863,,
5,5149,,0.15409570932388306,,
5,5159,,,0.9595454335212708,0.13444828987121582
5,5159,0.9598181843757629,,,
6,5199,,0.16117355227470398,,
6,5249,,0.11111710965633392,,
6,5299,,0.07990654557943344,,
6,5349,,0.14416219294071198,,
6,5399,,0.0699581578373909,,
6,5449,,0.14197935163974762,,
6,5499,,0.0942387506365776,,
6,5549,,0.10618036985397339,,
6,5599,,0.0507134385406971,,
6,5649,,0.0972299799323082,,
6,5699,,0.1010839119553566,,
6,5749,,0.4065551459789276,,
6,5799,,0.04288104921579361,,
6,5849,,0.16834981739521027,,
6,5899,,0.06226015090942383,,
6,5949,,0.034117694944143295,,
6,5999,,0.0944647267460823,,
6,6019,,,0.962218165397644,0.12421811372041702
6,6019,0.9635090827941895,,,
7,6049,,0.1617271453142166,,
7,6099,,0.13518697023391724,,
7,6149,,0.1519157886505127,,
7,6199,,0.16413863003253937,,
7,6249,,0.08186578005552292,,
7,6299,,0.2119114249944687,,
7,6349,,0.16373379528522491,,
7,6399,,0.12702271342277527,,
7,6449,,0.17307426035404205,,
7,6499,,0.07974930852651596,,
7,6549,,0.0718633159995079,,
7,6599,,0.10779579728841782,,
7,6649,,0.11768494546413422,,
7,6699,,0.05922935530543327,,
7,6749,,0.08264877647161484,,
7,6799,,0.046848684549331665,,
7,6849,,0.12401685118675232,,
7,6879,,,0.9640181660652161,0.11673920601606369
7,6879,0.9666908979415894,,,
8,6899,,0.07881991565227509,,
8,6949,,0.03688124194741249,,
8,6999,,0.05975034832954407,,
8,7049,,0.07227414846420288,,
8,7099,,0.1790245920419693,,
8,7149,,0.0977533683180809,,
8,7199,,0.06814317405223846,,
8,7249,,0.04546131193637848,,
8,7299,,0.03588387370109558,,
8,7349,,0.056591205298900604,,
8,7399,,0.05179242044687271,,
8,7449,,0.02308233641088009,,
8,7499,,0.12790893018245697,,
8,7549,,0.047549258917570114,,
8,7599,,0.09239386022090912,,
8,7649,,0.03449167311191559,,
8,7699,,0.0789455696940422,,
8,7739,,,0.9659090638160706,0.10908575356006622
8,7739,0.9691091179847717,,,
9,7749,,0.09608107060194016,,
9,7799,,0.05856775492429733,,
9,7849,,0.08444993197917938,,
9,7899,,0.1473054140806198,,
9,7949,,0.07087822258472443,,
9,7999,,0.20466385781764984,,
9,8049,,0.08023477345705032,,
9,8099,,0.0485411174595356,,
9,8149,,0.10615874826908112,,
9,8199,,0.11186356842517853,,
9,8249,,0.23284155130386353,,
9,8299,,0.2670571208000183,,
9,8349,,0.08026565611362457,,
9,8399,,0.026430843397974968,,
9,8449,,0.027241213247179985,,
9,8499,,0.13747543096542358,,
9,8549,,0.0878666341304779,,
9,8599,,0.25987592339515686,,
9,8599,,,0.9677818417549133,0.10274774581193924
9,8599,0.9707818031311035,,,
